======================================================================
NEURAL CRYPTOGRAPHY TRAINING RESULTS
======================================================================

Hyperparameters
Epochs      : 1000
Batch Size  : 256
Message Len : 64
Key Len     : 64
Learning Rate : 0.0008

Epoch 0126 | Bob=0.5037 | Eve=0.5037 | Gap=0.0000 | BobLoss=1.0092 | EveLoss=0.9994 | ABLoss=1.0092 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0127 | Bob=0.4957 | Eve=0.4957 | Gap=0.0000 | BobLoss=1.0039 | EveLoss=1.0026 | ABLoss=1.0039 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0128 | Bob=0.5042 | Eve=0.5042 | Gap=0.0000 | BobLoss=1.0000 | EveLoss=0.9981 | ABLoss=1.0000 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0129 | Bob=0.4981 | Eve=0.4981 | Gap=0.0000 | BobLoss=0.9988 | EveLoss=0.9995 | ABLoss=0.9988 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0130 | Bob=0.5029 | Eve=0.5029 | Gap=0.0000 | BobLoss=0.9987 | EveLoss=1.0053 | ABLoss=0.9987 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0131 | Bob=0.5000 | Eve=0.5000 | Gap=0.0000 | BobLoss=1.0027 | EveLoss=0.9978 | ABLoss=1.0027 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0132 | Bob=0.5025 | Eve=0.5025 | Gap=0.0000 | BobLoss=1.0001 | EveLoss=0.9981 | ABLoss=1.0001 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0133 | Bob=0.4965 | Eve=0.4965 | Gap=0.0000 | BobLoss=1.0028 | EveLoss=0.9967 | ABLoss=1.0028 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0134 | Bob=0.5005 | Eve=0.5005 | Gap=0.0000 | BobLoss=0.9993 | EveLoss=1.0030 | ABLoss=0.9993 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0135 | Bob=0.4999 | Eve=0.4999 | Gap=0.0000 | BobLoss=1.0006 | EveLoss=0.9961 | ABLoss=1.0006 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0136 | Bob=0.4960 | Eve=0.4960 | Gap=0.0000 | BobLoss=1.0026 | EveLoss=1.0005 | ABLoss=1.0026 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0137 | Bob=0.5010 | Eve=0.5010 | Gap=0.0000 | BobLoss=1.0054 | EveLoss=1.0007 | ABLoss=1.0054 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0138 | Bob=0.5034 | Eve=0.5034 | Gap=0.0000 | BobLoss=0.9995 | EveLoss=1.0006 | ABLoss=0.9995 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0139 | Bob=0.4966 | Eve=0.4966 | Gap=0.0000 | BobLoss=1.0029 | EveLoss=1.0019 | ABLoss=1.0029 | AB_STEPS=2 | EVE_STEPS=1
